well,metal,conc,yeast,replicate
Well.101,NiZn,5,BLANK,1
Well.102,NiZn,1,BLANK,1
Well.103,Co,1,BLANK,1
Well.104,Zn,4,OLY077,2
Well.105,CuZn,1,OLY077,2
Well.106,Cu,1,BLANK,1
Well.107,Cu,5,BLANK,1
Well.108,CoMn,3,OLY077,2
Well.109,CoCu,2,BLANK,1
Well.110,CdNi,4,BLANK,1
Well.111,CuNi,4,OLY077,1
Well.112,MnNi,5,OLY077,3
Well.113,CdNi,5,OLY077,2
Well.114,CoMn,3,BLANK,1
Well.115,CoCu,5,OLY077,2
Well.116,CdCu,2,BLANK,1
Well.117,Co,4,BLANK,1
Well.118,CdCu,1,OLY077,1
Well.119,CdZn,2,BLANK,1
Well.120,CuNi,2,BLANK,1
Well.121,NiZn,5,OLY077,1
Well.122,CdMn,2,OLY077,3
Well.123,CdCu,4,BLANK,1
Well.124,CoZn,1,OLY077,3
Well.125,Mn,1,OLY077,2
Well.126,CuMn,3,OLY077,1
Well.127,CdZn,3,OLY077,2
Well.128,CuZn,3,OLY077,2
Well.129,CdNi,5,BLANK,1
Well.130,CoZn,5,OLY077,3
Well.131,CuMn,1,OLY077,3
Well.132,CoZn,1,OLY077,1
Well.133,NiZn,4,OLY077,3
Well.134,MnNi,2,OLY077,2
Well.135,Cu,2,OLY077,1
Well.136,Co,4,OLY077,1
Well.137,CdNi,2,OLY077,1
Well.138,Zn,3,OLY077,1
Well.139,Cu,4,OLY077,2
Well.140,CoCu,1,OLY077,2
Well.141,CdNi,3,OLY077,3
Well.142,CuMn,3,OLY077,3
Well.143,CdZn,1,OLY077,1
Well.144,CdZn,2,OLY077,1
Well.145,MnZn,1,OLY077,2
Well.146,Co,5,OLY077,1
Well.147,CdCu,1,BLANK,1
Well.148,Zn,5,OLY077,1
Well.149,YPAD,0,BLANK,2
Well.150,Ni,4,OLY077,1
Well.151,CdNi,3,BLANK,1
Well.152,CuMn,2,OLY077,1
Well.153,CoMn,5,OLY077,3
Well.154,Cd,4,OLY077,2
Well.155,CoCu,3,OLY077,2
Well.156,Mn,5,OLY077,2
Well.157,CoMn,4,OLY077,2
Well.158,CoZn,4,OLY077,1
Well.159,CdCo,5,BLANK,1
Well.160,CdMn,5,BLANK,1
Well.161,CdMn,4,BLANK,1
Well.162,CoCu,5,OLY077,1
Well.163,CoNi,3,OLY077,2
Well.164,Co,5,OLY077,2
Well.165,Cd,4,OLY077,1
Well.166,CoMn,5,OLY077,2
Well.167,CoCu,2,OLY077,1
Well.168,CdMn,5,OLY077,1
Well.169,Cu,3,OLY077,2
Well.170,CuNi,4,OLY077,2
Well.171,CuMn,4,OLY077,3
Well.172,CdCo,1,OLY077,2
Well.173,MnNi,3,BLANK,1
Well.174,NiZn,5,OLY077,2
Well.175,CdCo,3,OLY077,3
Well.176,CdMn,1,OLY077,2
Well.177,CdCo,2,OLY077,3
Well.178,CuMn,3,OLY077,2
Well.179,MnNi,2,OLY077,3
Well.180,CoMn,4,OLY077,1
Well.181,Cd,5,OLY077,2
Well.182,MnNi,4,OLY077,2
Well.183,CoCu,4,OLY077,3
Well.184,CoZn,5,OLY077,2
Well.185,CdNi,1,OLY077,3
Well.186,CdNi,2,OLY077,2
Well.187,Ni,1,BLANK,1
Well.188,CdZn,5,OLY077,1
Well.189,Mn,3,BLANK,1
Well.190,CoMn,5,OLY077,1
Well.191,YPAD,0,BLANK,4
Well.192,Ni,2,OLY077,2
Well.193,CoZn,4,BLANK,1
Well.194,CdNi,5,OLY077,1
Well.195,CdMn,2,OLY077,2
Well.196,CoNi,2,BLANK,1
Well.197,Cu,1,OLY077,1
Well.198,CdCu,2,OLY077,3
Well.199,CdNi,4,OLY077,3
Well.200,CdZn,3,BLANK,1
Well.201,CoNi,4,OLY077,3
Well.202,CuMn,4,OLY077,2
Well.203,NiZn,1,OLY077,2
Well.204,MnZn,1,OLY077,3
Well.205,CoZn,3,BLANK,1
Well.206,CdMn,3,BLANK,1
Well.207,CdMn,3,OLY077,2
Well.208,CuNi,1,OLY077,1
Well.209,CuNi,3,OLY077,3
Well.210,CoNi,4,BLANK,1
Well.211,Co,2,OLY077,1
Well.212,NiZn,3,BLANK,1
Well.213,CoCu,3,OLY077,1
Well.214,Zn,1,BLANK,1
Well.215,CdCo,2,OLY077,1
Well.216,CuNi,1,OLY077,2
Well.217,CoNi,5,OLY077,3
Well.218,CuMn,2,OLY077,3
Well.219,CuZn,5,OLY077,1
Well.220,NiZn,4,OLY077,2
Well.221,YPAD,0,BLANK,5
Well.222,MnZn,4,OLY077,3
Well.223,CdMn,4,OLY077,1
Well.224,CoCu,3,OLY077,3
Well.225,MnNi,5,BLANK,1
Well.226,YPAD,0,OLY077,4
Well.227,Ni,3,BLANK,1
Well.228,CdCo,1,BLANK,1
Well.229,CdCu,3,BLANK,1
Well.230,Ni,1,OLY077,2
Well.231,CuZn,5,OLY077,3
Well.232,CdCo,3,OLY077,2
Well.233,CdMn,3,OLY077,3
Well.234,Zn,3,BLANK,1
Well.235,CoZn,3,OLY077,1
Well.236,CdNi,1,OLY077,1
Well.237,Co,1,OLY077,2
Well.238,Co,1,OLY077,1
Well.239,Cu,5,OLY077,1
Well.240,Ni,3,OLY077,1
Well.241,MnNi,2,BLANK,1
Well.242,CdCu,2,OLY077,2
Well.243,CdZn,4,BLANK,1
Well.244,CuMn,5,OLY077,1
Well.245,CoNi,5,OLY077,2
Well.246,CuMn,4,OLY077,1
Well.247,CdZn,3,OLY077,3
Well.248,Zn,2,OLY077,2
Well.249,CdZn,1,OLY077,3
Well.250,CdNi,3,OLY077,1
Well.251,Mn,4,BLANK,1
Well.252,Ni,4,BLANK,1
Well.253,CdCu,5,OLY077,1
Well.254,YPAD,0,OLY077,1
Well.255,MnZn,2,BLANK,1
Well.256,CuZn,4,OLY077,3
Well.257,CdNi,4,OLY077,1
Well.258,YPAD,0,BLANK,3
Well.259,CdZn,5,OLY077,2
Well.260,YPAD,0,OLY077,3
Well.261,CuZn,5,BLANK,1
Well.262,CuMn,1,OLY077,1
Well.263,NiZn,2,OLY077,3
Well.264,CoNi,2,OLY077,3
Well.265,CdCu,3,OLY077,1
Well.266,CdCu,3,OLY077,2
Well.267,CoNi,3,OLY077,3
Well.268,CdMn,2,OLY077,1
Well.269,Mn,5,BLANK,1
Well.270,CoMn,3,OLY077,1
Well.271,CuMn,3,BLANK,1
Well.272,MnNi,1,OLY077,1
Well.273,Zn,1,OLY077,1
Well.274,CoCu,4,OLY077,1
Well.275,CdMn,2,BLANK,1
Well.276,CoCu,3,BLANK,1
Well.277,CuZn,1,OLY077,1
Well.278,CoNi,2,OLY077,2
Well.279,MnZn,4,BLANK,1
Well.280,MnNi,3,OLY077,3
Well.281,YPAD,0,OLY077,5
Well.282,Co,3,OLY077,2
Well.283,Cd,1,OLY077,2
Well.284,MnZn,1,OLY077,1
Well.285,Cu,5,OLY077,2
Well.286,Mn,2,BLANK,1
Well.287,CdZn,3,OLY077,1
Well.288,CdNi,1,OLY077,2
Well.289,Co,2,BLANK,1
Well.290,Cd,1,OLY077,1
Well.291,CdCu,5,BLANK,1
Well.292,CdCo,4,OLY077,2
Well.293,CdCu,4,OLY077,2
Well.294,CuMn,1,OLY077,2
Well.295,NiZn,5,OLY077,3
Well.296,MnNi,5,OLY077,1
Well.297,CuNi,2,OLY077,1
Well.298,CoMn,3,OLY077,3
Well.299,CoZn,5,BLANK,1
Well.300,CdCo,4,BLANK,1