Combo,a,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2
CdCo,-0.16207560765939700,0,0.10827707499413300,0.3217732111905150,0.4927416439085880,0.5983426967535390,0.6610481049200360,0.700072390854461,0.7263151115990890,0.74542454956453,0.7603122534358900,0.7725237257826280
CdCu,-1.586796997134780,0,0.25117099410040300,0.47940053274867200,0.6098803196803290,0.6836241935235390,0.7282170936724700,0.7574833398729070,0.7782403821627300,0.7939670143670950,0.8065230846515630,0.8169542267125920
CdMn,1.2528284963162700,0,0.02212847450358640,0.1251215550465990,0.2782946419999600,0.4067513206473740,0.48730431387751000,0.5366913287078990,0.5728839364931780,0.6044273319230530,0.6338240491782490,0.6613633330850870
CdNi,0.8713577334340690,0,0.029621224720458700,0.15969242322459500,0.38308126548557300,0.591812506318279,0.6788484340374350,0.7154099521319000,0.8031141730716080,0.8838257385608120,0.9351821774415910,0.9644537085312100
CdZn,0.20364212368117800,0,0.05540061563564170,0.2656321427163350,0.49897837584199100,0.6478850044633990,0.7262933055816050,0.7690906581775360,0.7966975328246800,0.8177295670333140,0.8353098664376720,0.8505454593272070
CoCu,-2.406461694324150,0,0.15237400902204600,0.886736621716457,0.9855346818797030,0.9963079398926720,0.9983184235728660,0.9988515096535600,0.9990331821767570,0.999109506831236,0.9991483444973390,0.9991719489831680
CoMn,1.9322420937453400,0,0.0016187931864887200,0.028573093294404300,0.12912187971990400,0.2854489817007230,0.41543495150899900,0.4925660607758220,0.5335427188822240,0.5553041710342900,0.5673118993134170,0.5742593614501840
CoNi,0.8236100628124810,0,0.007267745361119400,0.11052280851669400,0.4181045146221490,0.7109175324761810,0.8292509808597890,0.8706199645165650,0.9110885925369830,0.9434441982312720,0.9643171036054370,0.977168338807143
CoZn,-0.017902299028275300,0,0.030943279737301900,0.2850063614541660,0.6150923422334910,0.7872869481111240,0.8585402071058870,0.889366293154719,0.9040895002287190,0.911832599199302,0.9162621271992730,0.9189874849165730
CuMn,3.2526851042178400,0,-0.0006798190100827380,-0.008335573525298350,-0.038275409963322000,-0.11694085080154100,-0.25961615145904400,-0.4210146369750350,-0.5353555077780710,-0.5848824073054560,-0.5857246471658260,-0.5577361395403160
CuNi,-0.9788079808413030,0,0.009861206480205610,0.5363327994079160,0.9540124065902800,0.9934562582473780,0.9979830630152130,0.998801037991336,0.9991503234226290,0.9993802375617550,0.9995392729695020,0.9996511445538180
CuZn,-1.7573053558555400,0,0.07051922552485150,0.7613420294704200,0.9645327150868110,0.9906702506729450,0.9957033460695140,0.9970557125455200,0.9975216885585170,0.9977202032385720,0.9978230700295010,0.9978868748285770
MnNi,2.244428525043180,0,-0.00010827982690098100,0.0016450454559894200,0.04418696264902560,0.22047093498476400,0.3974373294748850,0.47222759331255600,0.568937909569034,0.6679058311252740,0.7462657842149340,0.804398945304965
MnZn,2.678896184667140,0,0.00018162818630362800,0.0027226943111329200,0.011672702314355400,0.027482220409489200,0.04464981649825120,0.058295407428381700,0.0676987475402403,0.07402053814698870,0.07843194176541480,0.08170569765670090
NiZn,1.049853881331320,0,0.001305643477307990,0.052995844831336000,0.3488999767151750,0.7159596427177510,0.8583176834165440,0.8992330763499790,0.9281503822568310,0.9504554761696120,0.9656122276153630,0.9756787318012210