"","trial","combo","conc","met1_changeOD","combo_changeOD","met2_changeOD","delta_changeOD"
"1","one","CdCo","1",0.917,0.749333333333333,1.3665,0.343697540325524
"2","one","CdCo","2",0.799,0.713,1.3535,0.337514518002323
"3","one","CdCo","3",0.719,0.116666666666667,1.128,0.873669012813572
"4","one","CdCo","4",0.214,0.0893333333333333,0.742,0.813110181311018
"5","one","CdCo","5",0.198,0.0923333333333333,0.0325,0.19884309472162
"6","two","CdCo","1",0.9005,0.701333333333333,1.322,0.368878890138733
"7","two","CdCo","2",0.7735,0.695666666666667,1.2855,0.324267443742917
"8","two","CdCo","3",0.7145,0.188666666666667,1.16,0.798701876055837
"9","two","CdCo","4",0.4535,0.041,0.6805,0.927689594356261
"10","two","CdCo","5",0.257,0.0353333333333333,0.056,0.774227902023429
"11","one","CdCu","1",0.917,0.892333333333333,1.3745,0.221179722161612
"12","one","CdCu","2",0.799,0.877333333333333,1.032,0.041689422901875
"13","one","CdCu","3",0.719,0.17,0.8505,0.783370500159286
"14","one","CdCu","4",0.214,0.0743333333333333,0.8775,0.86379599938922
"15","one","CdCu","5",0.198,0.104666666666667,0.076,0.236009732360097
"16","two","CdCu","1",0.9005,0.845333333333333,1.269,0.220711377429515
"17","two","CdCu","2",0.7735,0.822666666666667,0.9795,0.0614185206312987
"18","two","CdCu","3",0.7145,0.0806666666666667,0.7755,0.8917225950783
"19","two","CdCu","4",0.4535,0.169333333333333,0.8275,0.735623211033047
"20","two","CdCu","5",0.257,0.028,0.0455,0.814876033057851
"21","one","CdMn","1",0.917,0.946666666666667,1.4045,0.184435350707158
"22","one","CdMn","2",0.799,0.641666666666667,1.008,0.2897989300867
"23","one","CdMn","3",0.719,0.548666666666667,1.126,0.405239385727191
"24","one","CdMn","4",0.214,0.152333333333333,0.7555,0.685748667698126
"25","one","CdMn","5",0.198,0.0713333333333333,0.4615,0.783674500884509
"26","two","CdMn","1",0.9005,0.747666666666667,1.383,0.345157287789213
"27","two","CdMn","2",0.7735,0.569,1.0275,0.368128817323709
"28","two","CdMn","3",0.7145,0.485333333333333,0.978,0.426489414081733
"29","two","CdMn","4",0.4535,0.338,0.787,0.455058444175735
"30","two","CdMn","5",0.257,0.0416666666666667,0.506,0.890782000873744
"31","one","CdNi","1",0.917,1.05166666666667,1.474,0.120312282169246
"32","one","CdNi","2",0.799,0.83,1.442,0.259259259259259
"33","one","CdNi","3",0.719,0.399666666666667,0.944,0.519342553617959
"34","one","CdNi","4",0.214,0.0586666666666667,0.574,0.851099830795262
"35","one","CdNi","5",0.198,0.0473333333333333,0.083,0.663107947805457
"36","two","CdNi","1",0.9005,1.022,1.485,0.143156570949486
"37","two","CdNi","2",0.7735,0.67,1.3785,0.37732342007435
"38","two","CdNi","3",0.7145,0.335333333333333,0.9065,0.586263623277812
"39","two","CdNi","4",0.4535,0.037,0.537,0.925290257445734
"40","two","CdNi","5",0.257,0.034,0.058,0.784126984126984
"41","one","CdZn","1",0.917,1.046,1.3665,0.0838624917889205
"42","one","CdZn","2",0.799,0.518333333333333,1.238,0.49108165603011
"43","one","CdZn","3",0.719,0.102666666666667,0.986,0.879569892473118
"44","one","CdZn","4",0.214,0.102,0.674,0.77027027027027
"45","one","CdZn","5",0.198,0.0703333333333333,0.204,0.650082918739635
"46","two","CdZn","1",0.9005,0.973,1.3315,0.128136200716846
"47","two","CdZn","2",0.7735,0.476666666666667,1.218,0.521298853460541
"48","two","CdZn","3",0.7145,0.106333333333333,0.982,0.874643874643875
"49","two","CdZn","4",0.4535,0.038,0.705,0.934397928355632
"50","two","CdZn","5",0.257,0.0533333333333333,0.2975,0.807634505560565
"51","one","CoCu","1",1.3665,0.0976666666666667,1.3745,0.928736470874377
"52","one","CoCu","2",1.3535,0.0563333333333333,1.032,0.952770208900999
"53","one","CoCu","3",1.128,0.0676666666666667,0.8505,0.931598011961924
"54","one","CoCu","4",0.742,0.058,0.8775,0.928372954615622
"55","one","CoCu","5",0.0325,0.0876666666666667,0.076,-0.615975422427035
"56","two","CoCu","1",1.322,0.0473333333333333,1.269,0.96346327029461
"57","two","CoCu","2",1.2855,0.0453333333333334,0.9795,0.959970566593083
"58","two","CoCu","3",1.16,0.0276666666666667,0.7755,0.971411349349867
"59","two","CoCu","4",0.6805,0.0496666666666667,0.8275,0.934129089301503
"60","two","CoCu","5",0.056,0.0363333333333333,0.0455,0.284072249589491
"61","one","CoMn","1",1.3665,1.35,1.4045,0.0256225189462287
"62","one","CoMn","2",1.3535,1.18733333333333,1.008,-0.00557555226198048
"63","one","CoMn","3",1.128,0.764,1.126,0.32209405501331
"64","one","CoMn","4",0.742,0.527666666666667,0.7555,0.295269894268225
"65","one","CoMn","5",0.0325,0.0426666666666667,0.4615,0.827260458839406
"66","two","CoMn","1",1.322,1.28733333333333,1.383,0.0481823783117683
"67","two","CoMn","2",1.2855,1.04533333333333,1.0275,0.0961233607148002
"68","two","CoMn","3",1.16,0.696333333333333,0.978,0.348612410352354
"69","two","CoMn","4",0.6805,0.173333333333333,0.787,0.763770584894946
"70","two","CoMn","5",0.056,0.0466666666666667,0.506,0.833926453143535
"71","one","CoNi","1",1.3665,0.583666666666667,1.474,0.58903948835299
"72","one","CoNi","2",1.3535,0.0723333333333333,1.442,0.948250163953974
"73","one","CoNi","3",1.128,0.0796666666666667,0.944,0.923101673101673
"74","one","CoNi","4",0.742,0.126333333333333,0.574,0.808004052684904
"75","one","CoNi","5",0.0325,0.052,0.083,0.0995670995670995
"76","two","CoNi","1",1.322,0.516,1.485,0.632347702173139
"77","two","CoNi","2",1.2855,0.0826666666666667,1.3785,0.937937937937938
"78","two","CoNi","3",1.16,0.083,0.9065,0.919670941204936
"79","two","CoNi","4",0.6805,0.05,0.537,0.917864476386037
"80","two","CoNi","5",0.056,0.047,0.058,0.175438596491228
"81","one","CoZn","1",1.3665,0.0816666666666667,1.3665,0.940236614221246
"82","one","CoZn","2",1.3535,0.0853333333333333,1.238,0.934143674834395
"83","one","CoZn","3",1.128,0.109666666666667,0.986,0.896247240618102
"84","one","CoZn","4",0.742,0.087,0.674,0.877118644067797
"85","one","CoZn","5",0.0325,0.0603333333333333,0.204,0.489781536293164
"86","two","CoZn","1",1.322,0.0833333333333333,1.3315,0.937189875007851
"87","two","CoZn","2",1.2855,0.0806666666666667,1.218,0.935556887024832
"88","two","CoZn","3",1.16,0.0636666666666667,0.982,0.940553999377529
"89","two","CoZn","4",0.6805,0.055,0.705,0.920606279321545
"90","two","CoZn","5",0.056,0.046,0.2975,0.73974540311174
"91","one","CuMn","1",1.3745,1.447,1.4045,-0.0413817920115149
"92","one","CuMn","2",1.032,1.258,1.008,-0.233333333333333
"93","one","CuMn","3",0.8505,1.14033333333333,1.126,-0.153891559153386
"94","one","CuMn","4",0.8775,0.748333333333333,0.7555,0.0834864258011838
"95","one","CuMn","5",0.076,0.308333333333333,0.4615,-0.147286821705426
"96","two","CuMn","1",1.269,1.452,1.383,-0.095022624434389
"97","two","CuMn","2",0.9795,1.26,1.0275,-0.25560538116592
"98","two","CuMn","3",0.7755,1.11133333333333,0.978,-0.267560117859519
"99","two","CuMn","4",0.8275,0.773666666666667,0.787,0.0416021472075978
"100","two","CuMn","5",0.0455,0.199666666666667,0.506,0.275914173466304
"101","one","CuNi","1",1.3745,0.0423333333333333,1.474,0.970276753847054
"102","one","CuNi","2",1.032,0.0776666666666667,1.442,0.937213689032606
"103","one","CuNi","3",0.8505,0.0706666666666667,0.944,0.921240828457323
"104","one","CuNi","4",0.8775,0.088,0.574,0.878746124698588
"105","one","CuNi","5",0.076,0.104333333333333,0.083,-0.312368972746331
"106","two","CuNi","1",1.269,0.0366666666666667,1.485,0.973372064875333
"107","two","CuNi","2",0.9795,0.026,1.3785,0.977947413061917
"108","two","CuNi","3",0.7755,0.0396666666666667,0.9065,0.952833927863654
"109","two","CuNi","4",0.8275,0.0393333333333333,0.537,0.942347624282399
"110","two","CuNi","5",0.0455,0.0473333333333333,0.058,0.0853462157809982
"111","one","CuZn","1",1.3745,0.066,1.3665,0.951842393287122
"112","one","CuZn","2",1.032,0.110333333333333,1.238,0.902790014684288
"113","one","CuZn","3",0.8505,0.0706666666666667,0.986,0.923042018331972
"114","one","CuZn","4",0.8775,0.106,0.674,0.863358040605865
"115","one","CuZn","5",0.076,0.086,0.204,0.385714285714286
"116","two","CuZn","1",1.269,0.0296666666666667,1.3315,0.977183874895853
"117","two","CuZn","2",0.9795,0.0346666666666667,1.218,0.968448995070155
"118","two","CuZn","3",0.7755,0.068,0.982,0.922617354196302
"119","two","CuZn","4",0.8275,0.0553333333333333,0.705,0.92778684067428
"120","two","CuZn","5",0.0455,0.0576666666666667,0.2975,0.663751214771623
"121","one","MnNi","1",1.4045,1.44433333333333,1.474,-0.00353193214058267
"122","one","MnNi","2",1.008,0.919,1.442,0.249795918367347
"123","one","MnNi","3",1.126,0.628666666666667,0.944,0.392592592592592
"124","one","MnNi","4",0.7555,0.157,0.574,0.763820985332832
"125","one","MnNi","5",0.4615,0.047,0.083,0.827364554637282
"126","two","MnNi","1",1.383,1.47,1.485,-0.0251046025104602
"127","two","MnNi","2",1.0275,0.865333333333333,1.3785,0.280687170961485
"128","two","MnNi","3",0.978,0.645666666666667,0.9065,0.314760767666048
"129","two","MnNi","4",0.787,0.187333333333333,0.537,0.717019133937563
"130","two","MnNi","5",0.506,0.046,0.058,0.836879432624114
"131","one","MnZn","1",1.4045,1.31866666666667,1.3665,0.0482376999879707
"132","one","MnZn","2",1.008,1.32066666666667,1.238,-0.176016622143069
"133","one","MnZn","3",1.126,1.17233333333333,0.986,-0.110164141414141
"134","one","MnZn","4",0.7555,1.036,0.674,-0.449457852395943
"135","one","MnZn","5",0.4615,0.608333333333333,0.204,-0.828199348860506
"136","two","MnZn","1",1.383,1.35533333333333,1.3315,0.0014121692147111
"137","two","MnZn","2",1.0275,1.243,1.218,-0.107103095079047
"138","two","MnZn","3",0.978,1.15733333333333,0.982,-0.180952380952381
"139","two","MnZn","4",0.787,0.954,0.705,-0.278820375335121
"140","two","MnZn","5",0.506,0.568333333333333,0.2975,-0.414644264675379
"141","one","NiZn","1",1.474,0.664,1.3665,0.532476676641436
"142","one","NiZn","2",1.442,0.173,1.238,0.87089552238806
"143","one","NiZn","3",0.944,0.0906666666666667,0.986,0.906044905008636
"144","one","NiZn","4",0.574,0.0673333333333333,0.674,0.892094017094017
"145","one","NiZn","5",0.083,0.05,0.204,0.651567944250871
"146","two","NiZn","1",1.485,0.551666666666667,1.3315,0.608260843836913
"147","two","NiZn","2",1.3785,0.154666666666667,1.218,0.88086526734707
"148","two","NiZn","3",0.9065,0.043,0.982,0.954461212602595
"149","two","NiZn","4",0.537,0.0426666666666667,0.705,0.931293612453033
"150","two","NiZn","5",0.058,0.0536666666666667,0.2975,0.698077824660103
